Date,MC,Amoeba,Type,dilute,Read1,rd1_new,diulte,Read2,rd_2_new,Avg,STDEV
14,22.1-1 MC+,I6-2,CHLA,0.5,9807.3,19614.6,0.5,10470,20940,,
16,22.1-1 MC+,I6-2,PC,1,72635,72635,1,68314,68314,,
16,22.1-1 MC+,I6-2,CHLA,1,12779,12779,1,12090,12090,,
0,22.1-1 MC+,I7-2,PC,1,69872,69872,1,69911,69911,,
0,22.1-1 MC+,I7-2,CHLA,1,6724,6724,1,6784.3,6784.3,,
2,22.1-1 MC+,I7-2,PC,1,18022,18022,1,21891,21891,,
2,22.1-1 MC+,I7-2,CHLA,1,2398.8,2398.8,1,2639.9,2639.9,,
5,22.1-1 MC+,I7-2,PC,1,42160,42160,1,35443,35443,,
5,22.1-1 MC+,I7-2,CHLA,1,4465.9,4465.9,1,4050.9,4050.9,,
7,22.1-1 MC+,I7-2,PC,1,50369,50369,1,53466,53466,,
7,22.1-1 MC+,I7-2,CHLA,1,5102.1,5102.1,1,5654.8,5654.8,,
9,22.1-1 MC+,I7-2,PC,1,65800,65800,1,74337,74337,,
9,22.1-1 MC+,I7-2,CHLA,1,6820.6,6820.6,1,7500.9,7500.9,,
12,22.1-1 MC+,I7-2,PC,1,102932,102932,1,106186,106186,,
12,22.1-1 MC+,I7-2,CHLA,1,10697,10697,1,10496,10496,,
14,22.1-1 MC+,I7-2,PC,0.5,90716,181432,0.5,92543,185086,,
14,22.1-1 MC+,I7-2,CHLA,0.5,8755.1,17510.2,0.5,10440,20880,,
16,22.1-1 MC+,I7-2,PC,1,82409,82409,1,95659,95659,,
16,22.1-1 MC+,I7-2,CHLA,1,10913,10913,1,11843,11843,,
0,22.1-1 MC+,U,PC,1,68130,68130,1,66409,66409,,
0,22.1-1 MC+,U,CHLA,1,5901.1,5901.1,1,6032.7,6032.7,,
2,22.1-1 MC+,U,PC,1,25132,25132,1,26448,26448,,
2,22.1-1 MC+,U,CHLA,1,2589.7,2589.7,1,2676.2,2676.2,,
5,22.1-1 MC+,U,PC,1,49099,49099,1,46029,46029,,
5,22.1-1 MC+,U,CHLA,1,4583.5,4583.5,1,4549.4,4549.4,,
7,22.1-1 MC+,U,PC,1,48955,48955,1,51358,51358,,
7,22.1-1 MC+,U,CHLA,1,4642.9,4642.9,1,4831.8,4831.8,,
9,22.1-1 MC+,U,PC,1,61741,61741,1,52772,52772,,
9,22.1-1 MC+,U,CHLA,1,6037.7,6037.7,1,6025.6,6025.6,,
12,22.1-1 MC+,U,PC,0.5,68615,137230,1,89590,89590,,
12,22.1-1 MC+,U,CHLA,0.5,6409.5,12819,1,8892.8,8892.8,,
14,22.1-1 MC+,U,PC,0.5,63914,127828,0.5,55855,111710,,
14,22.1-1 MC+,U,CHLA,0.5,7896.8,15793.6,0.5,7426.5,14853,,
16,22.1-1 MC+,U,PC,1,59247,59247,1,47829,47829,,
16,22.1-1 MC+,U,CHLA,1,11461,11461,1,10308,10308,,
0,22.1-1 MC+,WC-1,PC,1,63587,63587,1,63908,63908,,
0,22.1-1 MC+,WC-1,CHLA,1,5951.3,5951.3,1,6134.2,6134.2,,
2,22.1-1 MC+,WC-1,PC,1,27286,27286,1,27011,27011,,
2,22.1-1 MC+,WC-1,CHLA,1,2964.6,2964.6,1,2923.4,2923.4,,
5,22.1-1 MC+,WC-1,PC,1,35306,35306,1,27973,27973,,
5,22.1-1 MC+,WC-1,CHLA,1,4075.1,4075.1,1,3251,3251,,
7,22.1-1 MC+,WC-1,PC,1,50618,50618,1,62127,62127,,
7,22.1-1 MC+,WC-1,CHLA,1,5413.7,5413.7,1,6134.2,6134.2,,
9,22.1-1 MC+,WC-1,PC,1,58599,58599,1,79162,79162,,
9,22.1-1 MC+,WC-1,CHLA,1,5974.4,5974.4,1,7733,7733,,
12,22.1-1 MC+,WC-1,PC,1,103175,103175,0.5,98343,196686,,
